ลำดับที่,รหัสทะเบียนวิจัย,ฉบับที่ (ไทย),ฉบับที่ (อังกฤษ),ชื่องานวิจัย (ไทย),ชื่องานวิจัย (อังกฤษ),ชื่อผู้วิจัย (ไทย),ชื่องานวิจัย (อังกฤษ),หน่วยงาน (ไทย),หน่วยงาน (อังกฤษ),สังกัดหน่วยงาน (ไทย),สังกัดหน่วยงาน (อังกฤษ),ชื่อกรม (ไทย),ชื่อกรม (อังกฤษ),ชื่อกระทรวง (ไทย),ชื่อกระทรวง (อังกฤษ),คำสำคัญ (ไทย),คำสำคัญ (อังกฤษ),เลขที่ตั้งหน่วยงาน (ไทย),เลขที่ตั้งหน่วยงาน (อังกฤษ),ชื่อตำบล (ไทย),ชื่อตำบล (อังกฤษ),ชื่ออำเภอ (ไทย),ชื่ออำเภอ (อังกฤษ),ชื่อจังหวัด (ไทย),ชื่อจังหวัด (อังกฤษ),รหัสไปรษณีย์ (เลขไทย),รหัสไปรษณีย์ (เลขอารบิค),หมายเลขโทรศัพท์ (เลขไทย),หมายเลขโทรศัพท์ (เลขอารบิค),หมายเลขโทรสาร (เลขไทย),หมายเลขโทรสาร (เลขอารบิค),ปี พ.ศ. (เลขไทย),ปี ค.ศ. (เลขอารบิค),ปี พ.ศ. (เลขอารบิค),ไฟล์งานวิจัยฉบับย่อ (ไทย),ไฟล์งานวิจัยฉบับย่อ (อังกฤษ),ไฟล์งานวิจัยฉบับเต็ม (รวม),พาทเก็บไฟล์งานวิจัยฉบับย่อ (ไทย),พาทเก็บไฟล์งานวิจัยฉบับย่อ (อังกฤษ),พาทเก็บไฟล์งานวิจัยฉบับเต็ม (รวม)
11,46-0325-46062,๑๑/๒๕๔๘,11/1/2005,เทคนิคการเลี้ยงกุ้งกุลาดำแบบพัฒนาโดยให้อากาศ 2 รูปแบบ,TWO TECHNICALS AERATION ON INTENSIVE Penaeus monodon Fabricius CULTURE,ชัยรัตน์ พุ่มช่วย<br>สุพจน์ จึงแย้มปิ่น<br>เรวัตร ยอดสุรางค์<br>อุทัย รัตนอุบล,"Chairat Phumchuai, Supot Chungyampin, Ravat Yutsurank, Utai Rattanaubol",ศูนย์พัฒนาประมงพื้นที่ลุ่มน้ำปากพนังอันเนื่องมาจากพระราชดำริ,Pak Panang Basin Royal Fisheries Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"กุ้งกุลาดำ, คุณภาพน้ำ, คุณภาพดิน, ระบบชีวภาพ","Black Tiger Shrimp, Water Quality, Soil Quality, Biological",๓๔/๔ หมู่ ๕,34/4 Moo 5,หูล่อง,Hulong,ปากพนัง,Pakphanang,นครศรีธรรมราช,Nakhonsithammarat,80140,80140,๐-๗๕๕-๑๘๓๙-๗,0-755-1839-7,,,2548,2005,2548,๑๑๒๕๔๘.pdf,112005.pdf,F112548.pdf,www.coastalaqua.com/research/files/th/๑๑๒๕๔๘.pdf,http://www.coastalaqua.com/research/files/en/112005.pdf,http://www.coastalaqua.com/research/files/full/F112548.pdf
12,45-0-40-44-5-117-002,๑๒/๒๕๔๘,12/1/2005,ทดสอบการเกิดโรคจากเชื้อ Flexibacter maritimus ในปลากะพงขาว (Lates calcarifer),ARTIFICIAL INFECTION OF Flexibacter maritimus SEABASS (Lates calcarifer),สมพร รุ่งกำเนิดวงศ์<br>เยาวนิตย์ ดนยดล,"Somporn Roongkamnertwongsa, Yaowanit Danayadol",สถาบันวิจัยสุขภาพสัตว์น้ำชายฝั่ง,Coastal Aquatic Animal Health Research institute,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"การทดสอบการติดเชื้อ, Flexibacter maritimus, ปลากะพงขาว","Artificial infection, Flexibacter maritimus, seabass (Lates calcarifer)",,,พะวง,Pawong,เมือง,Muang,สงขลา,Songkhla,90100,90100,๐-๗๔๓๓-๔๕๑๖-๘,0-7433-4516-8,,,2548,2005,2548,๑๒๒๕๔๘.pdf,122005.pdf,F122548.pdf,www.coastalaqua.com/research/files/th/๑๒๒๕๔๘.pdf,http://www.coastalaqua.com/research/files/en/122005.pdf,http://www.coastalaqua.com/research/files/full/F122548.pdf
13,40-40-3-18-04-01-2-202-023,๑๓/๒๕๔๘,13/2005,"การเลี้ยงหอยเป๋าฮื้อ (Haliotis asinina Linnaeus, 1758) ที่ความหนาแน่นต่างกันโดยเปลี่ยนน้ำสัปดาห์ละครั้ง","REARING ON DONKEY'S EAR ABALONE (Haliotis asinina Linnaeus, 1758) AT DIFFERENT STOCKING DENSITIES BY CHANGING WATER ONCE A WEEK",เพ็ญแข คุณาวงค์เดช<br>วิเชียร สาคเรศ<br>สุภิชา แก้วมานพ<br>สาคร มากท่า,"Phenkae Kunawongdet, Wichien Sakares, Supicha Kaewmanop, Sakorn Makta",ศูนย์ศึกษาการพัฒนาอ่าวคุ้งกระเบน,Kung Krabaen Bay Royal Development Study Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"หอยเป๋าฮื้อ (Haliotis asinina Linnaeus, 1758), ความหนาแน่น","Donkey's ear abalone (Haliotis asinina Linnaeus, 1758), Stocking density",ตู้ ปณ.๑๗,P.O. Box 17,คลองขุด,Klong Kud,ท่าใหม่,Thamai,จันทบุรี,Chanthaburi,22120,22120,๐-๓๙๓๘-๘๑๑๖-๘,0-3938-8116-8,,,2548,2005,2548,๑๓๒๕๔๘.pdf,132005.pdf,F132548.pdf,www.coastalaqua.com/research/files/th/๑๓๒๕๔๘.pdf,http://www.coastalaqua.com/research/files/en/132005.pdf,http://www.coastalaqua.com/research/files/full/F132548.pdf
14,41-41-1-18-05-01-2-202-027,๑๔/๒๕๔๘,14/2005,"เปรียบเทียบการเลี้ยงหอยเป๋าฮื้อ (Haliotis asinina Linnaeus, 1758) ด้วยสาหร่ายสด สาหร่ายแห้ง และอาหารผสมอัดเม็ด","COMPARISON BETWEEN REARING DONKEY'S EAR ABALONE (Haliotis asinina Linnaeus, 1758) WITH FRESH ALGAE, DRIED ALGAE AND PELLET DIET",เพ็ญแข คุณาวงค์เดช<br>วิเชียร สาคเรศ<br>พิสมัย สมสืบ<br>สุภิชา แก้วมานพ,"Phenkae Kunawongdet, Wichien Sakares, Pisamai Somsueb,  Supicha Kaewmanop",ศูนย์ศึกษาการพัฒนาอ่าวคุ้งกระเบน,Kung Krabaen Bay Royal Development Study Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau	,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"หอยเป๋าฮื้อ, สาหร่ายผมนาง, สาหร่ายสด, สาหร่ายแห้ง, อาหารผสมอัดเม็ด","Abalone, Gracilaria fisheri, fresh algae, dried algae and pellet diet",ตู้ ปณ.๑๗,P.O. Box 17,คลองขุด,Klong Kud,ท่าใหม่,Thamai,จันทบุรี,Chanthaburi,22120,22120,๐-๓๙๓๘-๘๑๑๖-๘,0-3938-8116-8,,,2548,2005,2548,๑๔๒๕๔๘.pdf,142005.pdf,F142548.pdf,www.coastalaqua.com/research/files/th/๑๔๒๕๔๘.pdf,http://www.coastalaqua.com/research/files/en/142005.pdf,http://www.coastalaqua.com/research/files/full/F142548.pdf
15,47-0332-47175,๑๕/๒๕๔๘,15/2005,การศึกษาโรคทอราและการจำแนกเชื้อไวรัสทอราซินโดรมของกุ้งกุลาดำในประเทศไทย,STUDY ON TAURA SYNDROME AND SEQUENCES OF TAURA SYNDROME VIRUS IN BLACK TIGER SHRIMP (Penaeus monodon) IN THAILAND,ชัยวุฒิ สุดทองคง,Chaiwud Sudthongkong,ศูนย์วิจัยและพัฒนาประมงชายฝั่งสมุทรสาคร,Samutsakhon Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"กุ้งกุลาดำ, ทอราซินโดรม, โครงสร้างพันธุกรรมไวรัส, TSV primers","black tiger shrimp, Taura syndrome virus, sequences, TSV primers",ตู้ ปณ.๕๐,P.O. Box 50,โคกขาม,Khok-Kham,เมือง,Muang,สมุทรสาคร,Samutsakhon,74000,74000,๐-๓๔๘-๕๗๑๓-๖  ๐-๓๔๔-๒๖๒๒-๐,0-348-5713-6   0-344-2622-0,๐-๓๔๘-๕๗๑๓-๘,0-348-5713-8,2548,2005,2548,๑๕๒๕๔๘.pdf,152005.pdf,F152548.pdf,www.coastalaqua.com/research/files/th/๑๕๒๕๔๘.pdf,http://www.coastalaqua.com/research/files/en/152005.pdf,http://www.coastalaqua.com/research/files/full/F152548.pdf
16,47-0336-45092-036,๑๖/๒๕๔๘,16/2005,"การเลี้ยงปูม้า (Portunus pelagicus Linnaeus, 1758) ที่ระดับความหนาแน่นต่างกันในบ่อดิน","THE CULTURE OF BLUE SWIMMING CRAB (Portunus pelagicus Linnaeus, 1758) AT DIFFERENT DENSITIES IN THE EARTHEN PONDS",อาภรณ์ เทพพานิช<br>สำรวย ชุมวรฐายี,"Aporn Thepphanich, Sumruay Chumworrathayee",ศูนย์วิจัยและพัฒนาประมงชายฝั่งสุราษฏร์ธานี,Suratthani Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"ปูม้า (Portunus pelagicus Linnaeus, 1758), การเลี้ยง , บ่อดิน","Blue swimming crab (Portunus pelagicus Linnaeus, 1758), Culture, Earthen pond",๙๗/๑ หมู่ ๔,97/1 Moo 4,ตะเคียนทอง,Takienthong,กาญจนดิษฐ์,Kanchanadit,สุราษฎร์ธานี,Suratthani,84160,84160,๐-๗๗๒-๕๕๒๘-๘,0-772-5528-8,,,2548,2005,2548,๑๖๒๕๔๘.pdf,162005.pdf,F162548.pdf,www.coastalaqua.com/research/files/th/๑๖๒๕๔๘.pdf,http://www.coastalaqua.com/research/files/en/162005.pdf,http://www.coastalaqua.com/research/files/full/F162548.pdf
17,46-0329-46083-005,๑๗/๒๕๔๘,17/2005,การเลี้ยงสาหร่ายเขากวาง Gracillaria edulis (Gmelin) Silva และสาหร่ายมงกุฎหนาม Acanthophora spicifera (Vahl) Borgesen ในบ่อบำบัดน้ำทิ้ง,CULTURE ON SEAWEED Gracilaria edulis (Gmelin) silva AND Acanthophora spicifera (vahl) Borgesen IN BIOLOGICALLY-TRWATED WATER POND,ธวัช ศรีวีระชัย<br>สุริยะ แพงดี,"Tawat  Sriveerachai, Suriys Pankdee ",ศูนย์วิจัยและพัฒนาประมงชายฝั่งตราด,Trat Coast Aquaculture Station,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau				,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,,"Culture,Seaweed,Gracilaria(Gmelin)Silva,Acanthophora Spicifera(Vahl)Borgesen,Biologically-treated water pond",๒๐๕ หมู่ ๒,205 Moo 2,อ่าวใหญ่,Ao-yai,เมือง,Muang District,ตราด,Trat,23000,23000,(๐๓๙) ๕๔๓๓๓๔-๕,(039) 543334-5,(๐๓๙) ๕๒๑๖๓๔,(039) 521634,2548,2005,2548,๑๗๒๕๔๘.pdf,172005.pdf,F172548.pdf,www.coastalaqua.com/research/files/th/๑๗๒๕๔๘.pdf,http://www.coastalaqua.com/research/files/en/172005.pdf,http://www.coastalaqua.com/research/files/full/F172548.pdf
18,46-0329-46083-006,๑๘/๒๕๔๘,18/2005,ประสิทธิภาพของสาหร่ายมงกุฎหนาม Acanthophora spicifera (Vahl) Borgesn ในการบำบัดคุณภาพน้ำทะเล และน้ำทิ้งจากโรงเพาะอนุบาลสัตว์น้ำ,THE EFFICIENCY OF SEAWEED Acanthophora spicifera(Vahl) Borgesen ON TREATING THE SEA WATER AND EFFLUENT FROM HATCHERY,ธวัช ศรีวีระชัย<br>สุวรรณา วรสิงห์<br>สุริยะ แพงดี,"Tawat Sriveerachai, Suwanna Worsingh, Suriya Pankdee",ศูนย์วิจัยและพัฒนาประมงชายฝั่งตราด,Trat Coastal Aquaculture Starion,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau					,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,สาหร่ายมงกุฎหนาม การบำบัด น้ำทะเล น้ำทิ้งจากโรงเพาะอนุบาลสัตว์น้ำ,"Sed weed,Acanthophora spicifera(Vahl) Borgesen,Tretment,Sea weter,Effluent from hatchery",,,บ้านใหญ่,Ao-yai,เมือง,Muang District,ตราด,Trat,23000,23000,-,-,-,-,2548,2005,2548,๑๘๒๕๔๘.pdf,182005.pdf,F182548.pdf,www.coastalaqua.com/research/files/th/๑๘๒๕๔๘.pdf,http://www.coastalaqua.com/research/files/en/182005.pdf,http://www.coastalaqua.com/research/files/full/F182548.pdf
19,48-0332-45092-045,๑๙/๒๕๔๘,19/2005,"ผลของความเค็มของน้ำต่ออัตรารอดตายและการเจริญเติบโตของลูกปูม้า (Portunus pelagicus Linnaeus, 1758) ที่อนุบาลในที่กักขัง","EFFECTS OF WATER SALINITIES ON THE SURVIVAL RATES AND GROWTH OF YOUNG BLUE SWIMMING CRAB (Portunus pelagicus Linnaeus, 1758) REARED IN CAPTIVE",วารินทร์ ธนาสมหวัง<br>สง่า สิงห์หงษ์<br>ฉลอง ทองบ่อ,"Varin Tanasomwang, Sanga Singhong , Chalong Thongbor",ศูนย์วิจัยและพัฒนาประมงชายฝั่งสมุทรสาคร,Samutsakhon Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau	,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"ลูกปูม้า, ความเค็มของน้ำ, อัตรารอดตาย, การเจริญเติบโต","Young blue swimming crab, Water salinity, Survival rate, Growth",ตู้ ปณ.๕๐,P.O. Box 50,โคกขาม,Khok-Kham,เมือง,Muang,สมุทรสาคร,Samutsakhon,74000,74000,๐-๓๔๘-๕๗๑๓-๖  ๐-๓๔๔-๒๖๒๒-๐,0-348-5713-6   0-344-2622-0,๐-๓๔๘-๕๗๑๓-๘,0-348-5713-8,2548,2005,2548,๑๙๒๕๔๘.pdf,192005.pdf,F192548.pdf,www.coastalaqua.com/research/files/th/๑๙๒๕๔๘.pdf,http://www.coastalaqua.com/research/files/en/192005.pdf,http://www.coastalaqua.com/research/files/full/F192548.pdf
20,43-43-1-18-10-02-3-970-013,๒๐/๒๕๔๘,20/2005,การศึกษาการแพร่กระจายของ Vibrio sp. ในแหล่งเพาะเลี้ยงสัตว์น้ำชายฝั่งจังหวัดพังงา,STUDY ON DISTRIBUTION OF Vibrio sp. IN PHANGNGA COASTAL AQUACULTURE AREAS,กัลยาณี นาเวศน์<br>วิศิษฎ์ ขวัญดี<br>นงลักษณ์ สำราญราษฎร์,"Kanyanee Nawat, Visit Kundee, Nongluk Somranrat",ศูนย์วิจัยและพัฒนาประมงชายฝั่งพังงา,Phangnga Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau	,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"วิบริโอ, แหล่งเพาะเลี้ยงสัตว์น้ำชายฝั่ง, พังงา","Vibrio, Coastal Aquaculture Areas, Phangnga",,,ท้ายเหมือง,Thaimuang,ท้ายเหมือง,Thaimuang,พังงา,Phangnga,82120,82120,,,,,2548,2005,2548,๒๐๒๕๔๘.pdf,202005.pdf,F202548.pdf,www.coastalaqua.com/research/files/th/๒๐๒๕๔๘.pdf,http://www.coastalaqua.com/research/files/en/202005.pdf,http://www.coastalaqua.com/research/files/full/F202548.pdf
21,45-1811-45118-001,๒๑/๒๕๔๘,21/2005,"การฝังฮอร์โมนเพื่อกระตุ้นการสร้างน้ำเชื้อของปลากะรังดอกแดง (Ephinephelus  coioides Hamilton, 1822)","HORMONAL IMPLANTATION FOR INDUCING SPERMIATION IN ORANGE-SPOTTED GROUPER (Ephinephelus  coioides Hamilton, 1822)",อดุลย์ แมเร๊าะ<br>พัชรา แมเร๊าะ<br>อรุณ จันทร์แดง,"Adul Maerah, Patchara Maerah, Arun Jundaeng",ศูนย์วิจัยและพัฒนาประมงชายฝั่งสตูล,Satun Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau	,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"การฝังฮอร์โมน, การสร้างน้ำเชื้อ, ปลากะรังดอกแดง (Epinephelus coioides Hamilton, 1822)","Hormonal implantation, spermiation, Orange-spotted Grouper (Epinephelus coioides Hamilton, 1822)",,,ปากน้ำ,Paknam,ละงู,La-ngu,สตูล,Satun,91110,91110,,,,,2548,2005,2548,๒๑๒๕๔๘.pdf,212005.pdf,F212548.pdf,www.coastalaqua.com/research/files/th/๒๑๒๕๔๘.pdf,http://www.coastalaqua.com/research/files/en/212005.pdf,http://www.coastalaqua.com/research/files/full/F212548.pdf
22,48-0332-48011,๒๒/๒๕๔๘,22/2005,ผลของเปลือกมังคุดต่อการเลี้ยงกุ้งขาว,EFFECTS OF MANGOSTEEN'S PEEL ON THE CULTURE OF THE PACIFIC WHITE SHRIMPS (Penaeus vannamei Boone),ยอดชาย กรรณสูตร<br>สุรพล วิเศษสรรค์<br>สามารถ เปรมกิจ<br>วารินทร์ ธนาสมหวัง<br>พิณทิพย์ กรรณสูตร,"Yodchai Karnasuta, Suraphon Visetson, Samart Premkit, Varin Tanasomwang, Pintip Karnasuta",ศูนย์วิจัยและพัฒนาประมงชายฝั่งสมุทรสาคร,Samutsakhon Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"พิษเฉียบพลัน, กุ้งขาว, ผลเปลือกมังคุด, เอนไซม์ทำลายพิษ, การเลี้ยง, อัตราการเจริญเติบโต, อัตรารอด","Acute toxicity, pacific white shrimps, mangosteen's peel, detoxification enzyme, culture, growth rate, survival rate",ตู้ ปณ.๕๐,P.O. Box 50,โคกขาม,Khok-Kham,เมือง,Muang,สมุทรสาคร,Samutsakhon,74000,74000,๐-๓๔๘-๕๗๑๓-๖  ๐-๓๔๔-๒๖๒๒-๐,0-348-5713-6   0-344-2622-0,๐-๓๔๘-๕๗๑๓-๘,0-348-5713-8,2548,2005,2548,๒๒๒๕๔๘.pdf,222005.pdf,F222548.pdf,www.coastalaqua.com/research/files/th/๒๒๒๕๔๘.pdf,http://www.coastalaqua.com/research/files/en/222005.pdf,http://www.coastalaqua.com/research/files/full/F222548.pdf
23,44-44-1-18-05-12-2-806-002,๒๓/๒๕๔๘,23/2005,การศึกษาการเปลี่ยนแปลงของคุณภาพดินในอ่าวคุ้งกระเบน (จังหวัดจันทบุรี) ในช่วงก่อนและหลังการใช้ระบบชลประทานน้ำเค็มของศูนย์ศึกษาการพัฒนาประมงอ่าวคุ้งกระเบน,STUDY ON DIFFERENCE OF SOIL QUALITIES IN KUNG KRABAEN BAY (CHANTHABURI PROVINCE) BEFORE AND AFTER THE INTRODUCTION OF SEA WATER IRRIGATION SYSTEM OF KUNG KRABAEN BAY FISHERIES DEVELOPMENT STUDY CENTER,ชนินทร์ แสงรุ่งเรือง<br>เจษฎา เจริญวัฒน์<br>ทิศธิยา แช่มล้วน,"Chanin Sangrungruang, Jetsada Charoenwat, Tittiya Chamluan",ศูนย์ศึกษาการพัฒนาอ่าวคุ้งกระเบน,Kung Krabaen Bay Royal Development Study Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau	,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"ผลกระทบ, คุณภาพดิน, ชลประทาน, อ่าวคุ้งกระเบน","Impact, Soil qualities, Sea water irrigation, Kung Krabaen Bay",,,คลองขุด,Klong Kud,ท่าใหม่,Thamai,จันทบุรี,Chanthaburi,22120,22120,๐-๓๙๓๘-๘๑๑๖-๘,0-3938-8116-8,๐-๓๙๓๘-๘๑๑๙,0-3938-8119,2548,2005,2548,๒๓๒๕๔๘.pdf,232005.pdf,F232548.pdf,www.coastalaqua.com/research/files/th/๒๓๒๕๔๘.pdf,http://www.coastalaqua.com/research/files/en/232005.pdf,http://www.coastalaqua.com/research/files/full/F232548.pdf
24,47-0328-45093-012,๒๔/๒๕๔๘,24/2005,"การผลิตลูกหอยหวาน (Babylonia areolata Link, 1807) เชิงพาณิชย์","COMMERCIAL PRODUCTION OF SPOTTED BABYLON (Babylonia areolata Link, 1807) SEEDS",บังอร ศรีมุกดา<br>สุรชาต ฉวีภักดิ์<br>วริษฐา หนูปิ่น,"Bung-orn Srimukda, Surachart Chaweepack, Varittha Nupin",ศูนย์วิจัยและพัฒนาประมงชายฝั่งจันทบุรี,Chanthaburi Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"หอยหวาน, การอนุบาล, การผลิตเชิงพาณิชย์","Spotted babylon, Nursing, Commercial Production",,,บางกะจะ,Bangkacha,เมือง,Muang,จันทบุรี,Chanthaburi,22000,22000,๐-๓๙๔๕-๗๙๘๗-๘,0-3945-7987-8,,,2548,2005,2548,๒๔๒๕๔๘.pdf,242005.pdf,F242548.pdf,www.coastalaqua.com/research/files/th/๒๔๒๕๔๘.pdf,http://www.coastalaqua.com/research/files/en/242005.pdf,http://www.coastalaqua.com/research/files/full/F242548.pdf
25,43-43-2-18-05-01-2-204-031,๒๕/๒๕๔๘,25/2005,"การเลี้ยงหอยเป๋าฮื้อ (Haliotis asinina Linnaeus, 1758) ด้วยการบำบัดน้ำทางชีวภาพ","REARING ON DONKEY'S EAR ABALONE (Haliotis asinina Linnaeus, 1758) BY BIOLOGICAL WETER TREATMENT",เพ็ญแข คุณาวงค์เดช,Phenkae Kunawongdej,ศูนย์ศึกษาการพัฒนาอ่าวคุ้งกระเบน,Kung Krabaen Bay Royal Development Study Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau	,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"การเลี้ยงหอยเป๋าฮื้อ, การบำบัดน้ำทางชีวภาพ","Rearing on abalone , Biological water treatment",,,คลองขุด,Klong Kud,ท่าใหม่,Thamai,จันทบุรี,Chanthaburi,22120,22120,๐-๓๙๓๘-๘๑๑๖-๘,0-3938-8116-8,,,2548,2005,2548,๒๕๒๕๔๘.pdf,252005.pdf,F252548.pdf,www.coastalaqua.com/research/files/th/๒๕๒๕๔๘.pdf,http://www.coastalaqua.com/research/files/en/252005.pdf,http://www.coastalaqua.com/research/files/full/F252548.pdf
26,48-0331-45097-064,๒๖/๒๕๔๘,26/2005,การศึกษาการปนเปื้อนของสารไนโตรฟูราโซนในการอนุบาลและเลี้ยงกุ้งกุลาดำ,STUDY ON THE CONTAMINATION OF NITROFURAZONE IN NURSING AND REARING OF BLACK TIGER SHRIMP (Penaeus monodon Fabricius),ปกป้อง อุ่มอยู่<br>เจษฎา เจริญวัฒน์<br>สุธีวัฒน์ สมสืบ,"Pokpong Umyoo, Jetsada Charoenwat, Sutheewat Somsueb",ศูนย์วิจัยและพัฒนาประมงชายฝั่งฉะเชิงเทรา,Chachoengsao Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau	,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"กุ้งกุลาดำ ,    การปนเปื้อน, ไนโตรฟูราโซน, การอนุบาล, การเลี้ยง","Black tiger shrimp, Penaeus monodon, contamination, nitrofurazone, nursing, rearing",,,ท่าสะอ้าน,Ta sa-arn,บางปะกง,Bangpakong,ฉะเชิงเทรา,Chachoengsao,24130,24130,๐-๓๘๕-๓๑๓๘-๗,0-385-3138-7,,,2548,2005,2548,๒๖๒๕๔๘.pdf,262005.pdf,F262548.pdf,www.coastalaqua.com/research/files/th/๒๖๒๕๔๘.pdf,http://www.coastalaqua.com/research/files/en/262005.pdf,http://www.coastalaqua.com/research/files/full/F262548.pdf
